Method,Type,PSNR_MRI,SSIM_MRI,PSNR_US,SSIM_US
PALM1,PALM,19.068227378222783,0.4739789163020258,8.49475658851258,0.12800745513758063
PALM5,PALM,18.17724421147571,0.4573435571576289,8.758964692141175,0.13582106602672225
PALM10,PALM,18.176778343305212,0.4573370856053,8.759059367374283,0.13582993544113023
O1_PALM1,PALM,15.095258949250361,0.34300911975910625,5.94926000655626,0.019733234076777087
O1_PALM5,PALM,15.095551434687636,0.34301931249528544,5.9493028574905615,0.019734389273407305
O2_PALM1,PALM,32.34907580128682,0.9751350475905598,7.19515619181951,0.07528255499079387
O2_PALM5,PALM,32.045652591512365,0.9748879419227753,7.21468040876676,0.07625717432251651
DDFM,DDFM,21.54266119262859,0.5052227963390026,8.868598416602888,0.18812336156108025
P1_D10,Hybrid,27.18689902736694,0.8721193633090757,7.593353142075559,0.10325254995999157
P1_D25,Hybrid,24.77522694329585,0.6406376368728282,8.147588188591094,0.13509863708123182
P1_D50,Hybrid,20.999300091507052,0.5021276631077042,9.007973838272708,0.1835325383878466
P1_D75,Hybrid,21.323532960701566,0.5048467349482496,8.912158361982183,0.18618173994468118
P1_D100,Hybrid,21.95345814944561,0.5143514251849417,8.7613733965462,0.18414572590895487
P5_D10,Hybrid,27.40286244090374,0.8918093185263581,7.545668423789711,0.10071638398932374
P5_D25,Hybrid,26.252731157698562,0.7379238519581541,7.862830543190897,0.12303209649724696
P5_D50,Hybrid,20.630646617807816,0.4951113283757345,9.099311693692368,0.1864870939098213
P5_D75,Hybrid,21.266908531209353,0.5033177298499385,8.935009710305454,0.18671345728416125
P5_D100,Hybrid,21.92512662909705,0.5137575610436188,8.770474292676623,0.18443830949694684
O1_P1_D10,Hybrid,27.214321616593068,0.879487945059038,7.580539617363544,0.10272642714956105
O1_P1_D25,Hybrid,25.06054084233975,0.6553427141696186,8.092971566262888,0.1329727272444037
O1_P1_D50,Hybrid,20.95618336900472,0.5024500534103384,9.02016404697627,0.1836781591612046
O1_P1_D75,Hybrid,21.40435378060435,0.5063274873915208,8.890950979633939,0.18536620264002923
O1_P1_D100,Hybrid,21.55146048213298,0.5053054733672665,8.86032535735435,0.18812492138671388
O1_P5_D10,Hybrid,27.219105073597557,0.8742618713008496,7.589593477505092,0.10301874414987258
O1_P5_D25,Hybrid,25.68525503993137,0.6957060101888485,7.963456120639036,0.12833823588401927
O1_P5_D50,Hybrid,21.373910482719303,0.5107732134977069,8.899030051188605,0.17947609644148518
O1_P5_D75,Hybrid,22.024407185624217,0.5201602202353377,8.740901584457392,0.1795197302510453
O1_P5_D100,Hybrid,21.83984687045706,0.5119111069711253,8.788785115333337,0.18517009075943427
O2_P1_D10,Hybrid,27.053545322472377,0.8599312411702883,7.621911977645645,0.10421804533970931
O2_P1_D25,Hybrid,25.437725870515557,0.6776977712619384,8.011779741158499,0.13099815705022166
O2_P1_D50,Hybrid,19.985042215262506,0.48290830908134175,9.296308681007682,0.1929485414743004
O2_P1_D75,Hybrid,21.713981455256558,0.5135821636928741,8.816835773642566,0.18230450752320182
O2_P1_D100,Hybrid,21.779286054238742,0.5100969136566715,8.808361513350748,0.18597520560342654
O2_P5_D10,Hybrid,27.220225118266725,0.8813099566574453,7.576933174907452,0.10223630993792628
O2_P5_D25,Hybrid,25.17151611707039,0.659173860113064,8.07756775748943,0.13234741349650359
O2_P5_D50,Hybrid,22.63938685440501,0.5422555637639824,8.606858860373478,0.16799398546987573
O2_P5_D75,Hybrid,21.369388037151843,0.5051309174797887,8.91468909149379,0.18604353672204313
O2_P5_D100,Hybrid,21.476350900045883,0.5036951851949515,8.871532633589462,0.1888068698086372
